"keys","ru","uk","en"
"Мягкое затенение (SSAO)","Мягкое затенение (SSAO)","М'яке затінення (SSAO)","Ambient occlusion (SSAO)"
"Свечение (bloom)","Свечение (bloom)","Світіння (bloom)","Bloom"
"Отряд пал. Глава начнётся заново...","Отряд пал. Глава начнётся заново...","Загін поліг. Розділ почнеться заново...","The party has fallen. The chapter will restart..."
"Discord: показывать статус игры","Discord: показывать статус игры","Discord: показувати статус гри","Discord: show game activity"
"Discord Application ID:","Discord Application ID:","Discord Application ID:","Discord Application ID:"
"Создай приложение «Гномобой» на discord.com/developers,
вставь его Application ID — и Discord покажет статус и кнопку трансляции.","Создай приложение «Гномобой» на discord.com/developers,
вставь его Application ID — и Discord покажет статус и кнопку трансляции.","Створи застосунок «Гномобій» на discord.com/developers,
встав його Application ID — і Discord покаже статус і кнопку трансляції.","Create a 'Gnome Slayer' app at discord.com/developers,
paste its Application ID — Discord will show your status and the Go Live button."
"В главном меню","В главном меню","У головному меню","In the main menu"
"Сюжет — Глава %d","Сюжет — Глава %d","Сюжет — Розділ %d","Story — Chapter %d"
"Волны — волна %d","Волны — волна %d","Хвилі — хвиля %d","Waves — wave %d"
"В отряде: %d","В отряде: %d","У загоні: %d","Party of %d"
"В одиночку","В одиночку","Наодинці","Solo"
"Микрофон:","Микрофон:","Мікрофон:","Microphone:"
"Системный по умолчанию","Системный по умолчанию","Системний за замовчуванням","System default"
"Усиление микрофона","Усиление микрофона","Підсилення мікрофона","Microphone gain"
"Проверить микрофон (4 c)","Проверить микрофон (4 c)","Перевірити мікрофон (4 c)","Test microphone (4 s)"
"Ты","Ты","Ти","You"
"▶ Проверить микрофон","▶ Проверить микрофон","▶ Перевірити мікрофон","▶ Test microphone"
"■ Остановить проверку","■ Остановить проверку","■ Зупинити перевірку","■ Stop test"
"Идёт проверка: говори в микрофон — услышишь себя","Идёт проверка: говори в микрофон — услышишь себя","Триває перевірка: говори в мікрофон — почуєш себе","Testing: speak into the mic — you'll hear yourself"
"Звуки игры","Звуки игры","Звуки гри","Game sounds"
"Приглушать игру, когда говорят в рацию","Приглушать игру, когда говорят в рацию","Приглушувати гру, коли говорять у рацію","Duck game audio when someone speaks"
"WASD · ЛКМ/ПКМ · Пробел · E · V · T · C","WASD · ЛКМ/ПКМ · Пробел · E · V · T · C","WASD · ЛКМ/ПКМ · Пробіл · E · V · T · C","WASD · LMB/RMB · Space · E · V · T · C"
"ВОЗВРАЩАЙСЯ В ЛАГЕРЬ","ВОЗВРАЩАЙСЯ В ЛАГЕРЬ","ПОВЕРТАЙСЯ ДО ТАБОРУ","RETURN TO CAMP"
"Светятся, как надо! Ирма сварит отвар к утру.","Светятся, как надо! Ирма сварит отвар к утру.","Світяться, як треба! Ірма зварить відвар до ранку.","Glowing just right! Irma will brew the potion by morning."
"Держи за труды, рыцарь.","Держи за труды, рыцарь.","Тримай за труди, лицарю.","Here, for your trouble, knight."
"Молот Борина! Шустрые больше не сунутся.","Молот Борина! Шустрые больше не сунутся.","Молот Боріна! Швидкі більше не поткнуться.","Borin's hammer! The quick ones won't dare come back."
"Огни горят — путники увидят дорогу. Благодарю, воин.","Огни горят — путники увидят дорогу. Благодарю, воин.","Вогні горять — подорожні побачать шлях. Дякую, воїне.","The fires are lit — travelers will see the way. Thank you, warrior."
"Рой растоптан! Теперь и дышится легче.","Рой растоптан! Теперь и дышится легче.","Рій розтоптано! Тепер і дихається легше.","The swarm is crushed! The air feels lighter already."
"Пепельные грибы! Настойка выйдет — закачаешься.","Пепельные грибы! Настойка выйдет — закачаешься.","Попелясті гриби! Настоянка вийде — заслухаєшся.","Ash mushrooms! This tincture will knock your boots off."
"Стража пала. За спиной лича больше никого.","Стража пала. За спиной лича больше никого.","Варта полягла. За спиною лича більше нікого.","The guard has fallen. No one stands behind the lich now."
"[%s] — нанять мага (%d золота)","[%s] — нанять мага (%d золота)","[%s] — найняти мага (%d золота)","[%s] — hire a mage (%d gold)"
"Аванс не возвращаю. Ученика после заката не кормить — он и до заката-то не очень.","Аванс не возвращаю. Ученика после заката не кормить — он и до заката-то не очень.","Аванс не повертаю. Учня після заходу сонця не годувати — він і до заходу так собі.","No refunds on the advance. Don't feed the apprentice after sunset — he's not great before sunset either."
"Беда! Лич почуял осколки и послал орду отбирать. А у меня, между прочим, перерыв!","Беда! Лич почуял осколки и послал орду отбирать. А у меня, между прочим, перерыв!","Біда! Лич відчув уламки й послав орду відбирати. А в мене, між іншим, перерва!","Trouble! The Lich sensed the shards and sent a horde to take them back. And I'm on my break, mind you!"
"Вольный маг Фырк","Вольный маг Фырк","Вільний маг Фирк","Fyrk the Freelance Mage"
"Вольный маг нанят! Он пойдёт за нанимателем.","Вольный маг нанят! Он пойдёт за нанимателем.","Вільного мага найнято! Він піде за наймачем.","Freelance mage hired! He will follow his employer."
"Вот и логово. Лич сплёл трон из моих костей. Мог бы хоть спросить.","Вот и логово. Лич сплёл трон из моих костей. Мог бы хоть спросить.","Ось і лігво. Лич сплів трон із моїх кісток. Міг би хоч спитати.","There's the lair. The Lich wove a throne out of my bones. He could have at least asked."
"Впереди зима. Надень что-нибудь. Желательно железное.","Впереди зима. Надень что-нибудь. Желательно железное.","Попереду зима. Вдягни щось. Бажано залізне.","Winter's ahead. Put something on. Preferably made of iron."
"Выбей молот из шустрых. Они быстрые, но ты злее.","Выбей молот из шустрых. Они быстрые, но ты злее.","Вибий молот зі швидких. Вони прудкі, але ти лютіший.","Knock the hammer out of the quick ones. They're fast, but you're angrier."
"Гном гному рознь, рыцарь! Меня проклятие не взяло — я у горна прокоптился насквозь, тьме противно.","Гном гному рознь, рыцарь! Меня проклятие не взяло — я у горна прокоптился насквозь, тьме противно.","Гном гному не рівня, лицарю! Мене прокляття не взяло — я біля горна прокоптився наскрізь, темряві гидко.","Not all gnomes are alike, knight! The curse didn't take me — I'm smoked through from the forge, the darkness finds me disgusting."
"Горькая концовка: Лич пал, но Сердце срослось криво — слишком много просьб осталось без ответа. Гномы разбрелись по норам, а дух Дунгрима всё бродит и ворчит, что раньше и трава была зеленее, и рыцари — отзывчивее...","Горькая концовка: Лич пал, но Сердце срослось криво — слишком много просьб осталось без ответа. Гномы разбрелись по норам, а дух Дунгрима всё бродит и ворчит, что раньше и трава была зеленее, и рыцари — отзывчивее...","Гірка кінцівка: Лич упав, але Серце зрослося криво — забагато прохань лишилося без відповіді. Гноми розбрелися по норах, а дух Дунгріма все блукає й бурчить, що раніше й трава була зеленіша, і лицарі — чуйніші...","Bitter ending: the Lich has fallen, but the Heart mended crooked — too many requests went unanswered. The gnomes scattered to their burrows, and Dungrim's ghost still wanders, grumbling that the grass used to be greener and knights used to be nicer..."
"Горят! Теперь заблудится лишь тот, кто очень постарается. Благодарю, воин.","Горят! Теперь заблудится лишь тот, кто очень постарается. Благодарю, воин.","Горять! Тепер заблукає лише той, хто дуже постарається. Дякую, воїне.","They're burning! Now only someone who really tries can get lost. Thank you, warrior."
"Держи награду. Только Ирме не говори, из чьей она кубышки.","Держи награду. Только Ирме не говори, из чьей она кубышки.","Тримай нагороду. Тільки Ірмі не кажи, з чиєї вона скарбнички.","Here's your reward. Just don't tell Irma whose stash it came from."
"Держи оборону, не пропусти их к лагерю: там шатёр, а в шатре — я и мои нервы.","Держи оборону, не пропусти их к лагерю: там шатёр, а в шатре — я и мои нервы.","Тримай оборону, не пропусти їх до табору: там намет, а в наметі — я і мої нерви.","Hold the line, don't let them reach the camp: there's a tent there, and inside are me and my nerves."
"Его осколок морозит саму землю. Расчисти путь — и он выйдет: гордый, как все короли, у которых в тронном зале минус сорок.","Его осколок морозит саму землю. Расчисти путь — и он выйдет: гордый, как все короли, у которых в тронном зале минус сорок.","Його уламок морозить саму землю. Розчисти шлях — і він вийде: гордий, як усі королі, у яких у тронній залі мінус сорок.","His shard freezes the very ground. Clear the way and he'll come out — proud, like every king whose throne room is at minus forty."
"Заверши начатое. Народ гномов молится за тебя — тихо, коряво, но искренне.","Заверши начатое. Народ гномов молится за тебя — тихо, коряво, но искренне.","Заверши почате. Народ гномів молиться за тебе — тихо, незграбно, але щиро.","Finish what you started. The gnome folk are praying for you — quietly, clumsily, but sincerely."
"Золотая концовка: Сердце Горы собрано целиком. Гномы вынесли рыцарю дары, статую и пожизненный запас морковки. Дунгрим уснул с улыбкой — впервые за триста лет без храпа. Поляна цветёт, и даже грибы светятся как-то по-доброму.","Золотая концовка: Сердце Горы собрано целиком. Гномы вынесли рыцарю дары, статую и пожизненный запас морковки. Дунгрим уснул с улыбкой — впервые за триста лет без храпа. Поляна цветёт, и даже грибы светятся как-то по-доброму.","Золота кінцівка: Серце Гори зібране повністю. Гноми винесли лицареві дари, статую і довічний запас морквини. Дунгрім заснув з усмішкою — вперше за триста років без хропіння. Галявина квітне, і навіть гриби світяться якось по-доброму.","Golden ending: the Mountain Heart is whole again. The gnomes brought the knight gifts, a statue and a lifetime supply of carrots. Dungrim fell asleep smiling — snore-free for the first time in three hundred years. The meadow blooms, and even the mushrooms glow in a friendly sort of way."
"Золото отряда: %d","Золото отряда: %d","Золото загону: %d","Party gold: %d"
"Каждый упокоенный страж — минус клинок за спиной лича. Математика — страшная сила.","Каждый упокоенный страж — минус клинок за спиной лича. Математика — страшная сила.","Кожен упокоєний вартовий — мінус клинок за спиною лича. Математика — страшна сила.","Every guard laid to rest is one less blade behind the Lich. Math is a terrifying power."
"Костяная мелюзга грызёт всё подряд. Вчера обед мой сгрызли. С миской.","Костяная мелюзга грызёт всё подряд. Вчера обед мой сгрызли. С миской.","Кістяна дрібнота гризе все підряд. Вчора обід мій згризли. З мискою.","The bone runts gnaw on everything. Yesterday they ate my lunch. Bowl included."
"Костяная стража стянулась к трону. Стоят красиво — аж ломать жалко. Шучу. Не жалко.","Костяная стража стянулась к трону. Стоят красиво — аж ломать жалко. Шучу. Не жалко.","Кістяна варта стягнулася до трону. Стоять гарно — аж ламати шкода. Жартую. Не шкода.","The bone guard has gathered at the throne. They stand so pretty it's almost a shame to break them. Kidding. It's not."
"Костяные разбойники обчистили лагерь Борина. Даже наковальню обнюхали.","Костяные разбойники обчистили лагерь Борина. Даже наковальню обнюхали.","Кістяні розбійники обчистили табір Боріна. Навіть ковадло обнюхали.","Bone bandits cleaned out Borin's camp. They even sniffed the anvil."
"Лич носит последний осколок и МОЮ корону. Забери у него и то, и другое. Корону оставь себе — она всё равно жмёт.","Лич носит последний осколок и МОЮ корону. Забери у него и то, и другое. Корону оставь себе — она всё равно жмёт.","Лич носить останній уламок і МОЮ корону. Забери в нього і те, і інше. Корону лиши собі — вона все одно тисне.","The Lich carries the last shard and MY crown. Take both from him. Keep the crown — it pinches anyway."
"Мой ученик пойдёт за тобой и будет кидаться огнём. 30 золота. Дорого? А ты сам попробуй покидайся.","Мой ученик пойдёт за тобой и будет кидаться огнём. 30 золота. Дорого? А ты сам попробуй покидайся.","Мій учень піде за тобою і кидатиметься вогнем. 30 золота. Дорого? А ти сам спробуй покидатися.","My apprentice will follow you and throw fire around. 30 gold. Expensive? You try throwing it yourself."
"Молот Борина! Тяжёлый, как его характер. Держи долю — честно отобранную у нечестных.","Молот Борина! Тяжёлый, как его характер. Держи долю — честно отобранную у нечестных.","Молот Боріна! Важкий, як його характер. Тримай частку — чесно відібрану в нечесних.","Borin's hammer! Heavy as his temper. Here's your share — honestly taken from the dishonest."
"Не переживай: он мёртв уже триста лет. Что он тебе сделает... Ой.","Не переживай: он мёртв уже триста лет. Что он тебе сделает... Ой.","Не хвилюйся: він мертвий уже триста років. Що він тобі зробить... Ой.","Don't worry: he's been dead for three hundred years. What could he possibly do to you... Oh."
"Не хватает золота — маг работает по предоплате.","Не хватает золота — маг работает по предоплате.","Бракує золота — маг працює за передоплатою.","Not enough gold — the mage works on prepayment."
"Орда отступила! Лич остался совсем один. Даже жалко... Нет, не жалко.","Орда отступила! Лич остался совсем один. Даже жалко... Нет, не жалко.","Орда відступила! Лич лишився зовсім сам. Аж шкода... Ні, не шкода.","The horde has retreated! The Lich is all alone now. Almost feel sorry for him... No, I don't."
"Осколок второй, и молот при мне! Теперь можно и жить, и ковать.","Осколок второй, и молот при мне! Теперь можно и жить, и ковать.","Уламок другий, і молот при мені! Тепер можна і жити, і кувати.","Shard number two, and my hammer's back! Now I can live AND forge."
"Пепельные грибы! Настойка выйдет — закачаешься. В прямом смысле, так что по глоточку.","Пепельные грибы! Настойка выйдет — закачаешься. В прямом смысле, так что по глоточку.","Попелясті гриби! Настоянка вийде — заслухаєшся. У прямому сенсі, тож по ковточку.","Ash mushrooms! This tincture will knock you off your feet. Literally, so small sips only."
"Первый осколок! Тёплый, как пирожок. Осталось ещё пять — там, где холоднее и страшнее.","Первый осколок! Тёплый, как пирожок. Осталось ещё пять — там, где холоднее и страшнее.","Перший уламок! Теплий, як пиріжок. Лишилося ще п'ять — там, де холодніше і страшніше.","The first shard! Warm as a fresh pie. Five more to go — in places colder and scarier."
"Перебей стражу — и он выйдет сам: гордыня не позволит отсиживаться. Уж я-то знаю, сам таким был.","Перебей стражу — и он выйдет сам: гордыня не позволит отсиживаться. Уж я-то знаю, сам таким был.","Перебий варту — і він вийде сам: гординя не дозволить відсиджуватися. Вже я знаю, сам таким був.","Slay the guard and he'll come out himself — pride won't let him hide. Trust me, I used to be like that."
"Пора с этим кончать. Мы верим в тебя! В основном потому, что больше не в кого.","Пора с этим кончать. Мы верим в тебя! В основном потому, что больше не в кого.","Час із цим кінчати. Ми віримо в тебе! Здебільшого тому, що більше нема в кого.","Time to end this. We believe in you! Mostly because there's no one else left to believe in."
"После пожара выросли пепельные грибы. На вкус — подошва, по эффекту — праздник.","После пожара выросли пепельные грибы. На вкус — подошва, по эффекту — праздник.","Після пожежі виросли попелясті гриби. На смак — підошва, за ефектом — свято.","Ash mushrooms grew after the fire. They taste like boot soles and feel like a holiday."
"Почему сам не соберу? У меня аллергия. На работу.","Почему сам не соберу? У меня аллергия. На работу.","Чому сам не зберу? У мене алергія. На роботу.","Why don't I pick them myself? I have an allergy. To work."
"При жизни я собрал все осколки себе. Умер от жадности. Буквально.","При жизни я собрал все осколки себе. Умер от жадности. Буквально.","За життя я зібрав усі уламки собі. Помер від жадібності. Буквально.","In life I gathered all the shards for myself. Died of greed. Literally."
"Проклятие? Не слышал. Я в тот день спал. И всю неделю тоже.","Проклятие? Не слышал. Я в тот день спал. И всю неделю тоже.","Прокляття? Не чув. Я того дня спав. І весь тиждень теж.","The curse? Never heard of it. I was asleep that day. And that week."
"Прореди самых буйных — их вожак вылезет сам. Отбери осколок, а я пока отвар поставлю. От него ещё никто не... ну, почти.","Прореди самых буйных — их вожак вылезет сам. Отбери осколок, а я пока отвар поставлю. От него ещё никто не... ну, почти.","Прорідь найбуйніших — їхній ватажок вилізе сам. Відбери уламок, а я поки відвар поставлю. Від нього ще ніхто не... ну, майже.","Thin out the rowdiest ones and their chief will crawl out himself. Grab the shard while I get the potion brewing. Nobody's ever died from it... well, almost nobody."
"Псст, рыцарь. Ирме для отвара нужны светящиеся грибы, пять штук.","Псст, рыцарь. Ирме для отвара нужны светящиеся грибы, пять штук.","Псст, лицарю. Ірмі для відвару потрібні сяйливі гриби, п'ять штук.","Psst, knight. Irma needs glowing mushrooms for the potion. Five of them."
"Путники плутают в метели, а у меня борода мёрзнет дорогу указывать.","Путники плутают в метели, а у меня борода мёрзнет дорогу указывать.","Подорожні блукають у заметілі, а в мене борода мерзне шлях показувати.","Travelers keep getting lost in the blizzard, and my beard freezes when I point the way."
"Разгони эту костяную биржу труда — их главный сам вылезет.","Разгони эту костяную биржу труда — их главный сам вылезет.","Розжени цю кістяну біржу праці — їхній головний сам вилізе.","Break up that bone-rattling job fair and their boss will crawl out himself."
"Разожги три сигнальных костра. Огонь тёплый. Проверено наукой.","Разожги три сигнальных костра. Огонь тёплый. Проверено наукой.","Розпали три сигнальні багаття. Вогонь теплий. Перевірено наукою.","Light three signal fires. Fire is warm. Science has confirmed it."
"Растопчи десяток. Обед не вернёшь, но до чего приятно.","Растопчи десяток. Обед не вернёшь, но до чего приятно.","Розтопчи десяток. Обіду не повернеш, але як же приємно.","Stomp a dozen of them. It won't bring my lunch back, but it sure feels good."
"Рой растоптан! Впервые вижу, чтобы кто-то работал быстрее, чем я жалуюсь.","Рой растоптан! Впервые вижу, чтобы кто-то работал быстрее, чем я жалуюсь.","Рій розтоптано! Вперше бачу, щоб хтось працював швидше, ніж я скаржуся.","The swarm is crushed! First time I've seen anyone work faster than I complain."
"Рыцарь! Наконец-то. Гномы взбесились: раньше морковку воровали, теперь — души.","Рыцарь! Наконец-то. Гномы взбесились: раньше морковку воровали, теперь — души.","Лицарю! Нарешті. Гноми сказилися: раніше морквину крали, тепер — душі.","A knight! Finally. The gnomes have gone mad: they used to steal carrots, now they steal souls."
"Свершилось... Пойду прилягу. Навсегда. В хорошем смысле.","Свершилось... Пойду прилягу. Навсегда. В хорошем смысле.","Звершилося... Піду приляжу. Назавжди. У хорошому сенсі.","It is done... I'll go lie down now. Forever. In a good way."
"Светлая концовка: проклятие снято, племя свободно. Трещины на Сердце остались — как у всех нас, в общем-то. Дунгрим обрёл покой, а поляна — тишину. Почти: гномы всё ещё поют по пятницам.","Светлая концовка: проклятие снято, племя свободно. Трещины на Сердце остались — как у всех нас, в общем-то. Дунгрим обрёл покой, а поляна — тишину. Почти: гномы всё ещё поют по пятницам.","Світла кінцівка: прокляття знято, плем'я вільне. Тріщини на Серці лишилися — як у всіх нас, зрештою. Дунгрім знайшов спокій, а галявина — тишу. Майже: гноми досі співають по п'ятницях.","Bright ending: the curse is lifted, the tribe is free. The Heart still has its cracks — like all of us, really. Dungrim found peace, and the meadow found quiet. Almost: the gnomes still sing on Fridays."
"Светятся! Как моя совесть — ровно наполовину.","Светятся! Как моя совесть — ровно наполовину.","Світяться! Як моє сумління — рівно наполовину.","They glow! Like my conscience — exactly half-bright."
"Сердце едино! Тьма уходит из глаз моего народа... и из моих. А у меня их даже нет.","Сердце едино! Тьма уходит из глаз моего народа... и из моих. А у меня их даже нет.","Серце єдине! Темрява йде з очей мого народу... і з моїх. А в мене їх навіть немає.","The Heart is whole! The darkness leaves my people's eyes... and mine. And I don't even have any."
"Скелеты спёрли осколок. И молот мой! Осколок — ладно. Но МОЛОТ!","Скелеты спёрли осколок. И молот мой! Осколок — ладно. Но МОЛОТ!","Скелети поцупили уламок. І молот мій! Уламок — гаразд. Але МОЛОТ!","The skeletons swiped the shard. And my hammer! The shard — fine. But the HAMMER!"
"Собери шесть — сделаю настойку для отряда перед решающим боем.","Собери шесть — сделаю настойку для отряда перед решающим боем.","Збери шість — зроблю настоянку для загону перед вирішальним боєм.","Gather six and I'll brew a tincture for the party before the final battle."
"Спасибо, рыцарь. Теперь я могу уснуть. Лет на тысячу. Не будить.","Спасибо, рыцарь. Теперь я могу уснуть. Лет на тысячу. Не будить.","Дякую, лицарю. Тепер я можу заснути. Років на тисячу. Не будити.","Thank you, knight. Now I can sleep. For a thousand years or so. Do not wake."
"Стража пала. За спиной лича — только сквозняк.","Стража пала. За спиной лича — только сквозняк.","Варта полягла. За спиною лича — лише протяг.","The guard has fallen. Behind the Lich there's nothing but a draft."
"Ступай в Осенний лес. И да хранит тебя Сердце Горы — у него, правда, сейчас не лучшая форма.","Ступай в Осенний лес. И да хранит тебя Сердце Горы — у него, правда, сейчас не лучшая форма.","Іди до Осіннього лісу. І хай береже тебе Серце Гори — воно, щоправда, зараз не в найкращій формі.","Head to the Autumn Forest. May the Mountain Heart protect you — though it's not exactly in top shape right now."
"Твои адреса (дай другу нужный):","Твои адреса (дай другу нужный):","Твої адреси (дай другові потрібну):","Your addresses (give your friend the right one):"
"Тише! Морозный король собрал орду у ледника. Сидят, мёрзнут, нас ждут.","Тише! Морозный король собрал орду у ледника. Сидят, мёрзнут, нас ждут.","Тихіше! Морозний король зібрав орду біля льодовика. Сидять, мерзнуть, нас чекають.","Quiet! The Frost King has gathered a horde by the glacier. They sit there, freezing, waiting for us."
"Третий! Остался последний — в Ночной чаще, у Короля-лича.","Третий! Остался последний — в Ночной чаще, у Короля-лича.","Третій! Лишився останній — у Нічній хащі, в Короля-лича.","The third! One left — in the Night Thicket, with the Lich King."
"У Фырка кончились свободные ученики.","У Фырка кончились свободные ученики.","У Фирка скінчилися вільні учні.","Fyrk has run out of available apprentices."
"Это всё осколки Сердца Горы: раскололось, осыпалось — и у каждого второго гнома теперь тёмная сторона и претензии.","Это всё осколки Сердца Горы: раскололось, осыпалось — и у каждого второго гнома теперь тёмная сторона и претензии.","Це все уламки Серця Гори: розкололося, обсипалося — і в кожного другого гнома тепер темний бік і претензії.","It's all the Mountain Heart's shards: it cracked, it crumbled — and now every other gnome has a dark side and a list of grievances."
"Я — Дунгрим, король гномов. Точнее, его лучшая часть: призрачная.","Я — Дунгрим, король гномов. Точнее, его лучшая часть: призрачная.","Я — Дунгрім, король гномів. Точніше, його найкраща частина: примарна.","I am Dungrim, king of the gnomes. Or rather, his best part: the ghostly one."
"Силовой хват","Силовой хват","Силове хапання","Iron Grip"
"+8% урона в ближнем бою","+8% урона в ближнем бою","+8% шкоди в ближньому бою","+8% melee damage"
"Свирепость","Свирепость","Лютість","Ferocity"
"Ещё +8% урона в ближнем бою","Ещё +8% урона в ближнем бою","Ще +8% шкоди в ближньому бою","Another +8% melee damage"
"Крепкое тело","Крепкое тело","Міцне тіло","Sturdy Body"
"+6% максимального здоровья","+6% максимального здоровья","+6% максимального здоров'я","+6% max health"
"Целитель","Целитель","Цілитель","Healer"
"Поднимаешь союзников на 20% быстрее","Поднимаешь союзников на 20% быстрее","Піднімаєш союзників на 20% швидше","Revive allies 20% faster"
"Лёгкие ноги","Лёгкие ноги","Легкі ноги","Light Feet"
"+6% скорости бега","+6% скорости бега","+6% швидкості бігу","+6% run speed"
"Тень","Тень","Тінь","Shadow"
"Перекат восстанавливается на 20% быстрее","Перекат восстанавливается на 20% быстрее","Перекат відновлюється на 20% швидше","Dodge roll recovers 20% faster"
"Удачливый","Удачливый","Везунчик","Lucky"
"+20% золота с убитых тобой гномов","+20% золота с убитых тобой гномов","+20% золота з гномів, вбитих тобою","+20% gold from gnomes you kill"
"Роковой удар","Роковой удар","Фатальний удар","Fatal Strike"
"Криты наносят на 25% больше","Криты наносят на 25% больше","Крити завдають на 25% більше","Crits deal 25% more damage"
"Первая кровь","Первая кровь","Перша кров","First Blood"
"Убей своего первого гнома","Убей своего первого гнома","Вбий свого першого гнома","Kill your first gnome"
"Гроза гномов","Гроза гномов","Гроза гномів","Gnome Slayer"
"Убей 100 гномов","Убей 100 гномов","Вбий 100 гномів","Kill 100 gnomes"
"Победитель вождя","Победитель вождя","Переможець вождя","Chief's Bane"
"Срази вожака гномов","Срази вожака гномов","Здолай вождя гномів","Defeat the gnome chieftain"
"Вольный маг","Вольный маг","Вільний маг","Freelance Mage"
"Найми гнома-мага в лагере","Найми гнома-мага в лагере","Найми гнома-мага в таборі","Hire a gnome mage at camp"
"Наставник","Наставник","Наставник","Mentor"
"Прокачай наёмника до максимума","Прокачай наёмника до максимума","Прокачай найманця до максимуму","Level your hireling to max"
"Спасатель","Спасатель","Рятівник","Lifesaver"
"Подними павшего товарища","Подними павшего товарища","Підніми полеглого товариша","Revive a fallen ally"
"Золотая жила","Золотая жила","Золота жила","Gold Rush"
"Собери 500 золота отряда за главу","Собери 500 золота отряда за главу","Збери 500 золота загону за главу","Gather 500 party gold in one chapter"
"Мастер на все руки","Мастер на все руки","Майстер на всі руки","Jack of All Trades"
"Выполни все побочные задания кампании","Выполни все побочные задания кампании","Виконай усі побічні завдання кампанії","Complete every side quest in the campaign"
"Осколки собраны","Осколки собраны","Уламки зібрано","Shards Assembled"
"Заверши кампанию","Заверши кампанию","Заверши кампанію","Finish the campaign"
"Достойный финал","Достойный финал","Гідний фінал","A Worthy Ending"
"Получи лучшую концовку кампании","Получи лучшую концовку кампании","Отримай найкращу кінцівку кампанії","Earn the campaign's best ending"
"Дуэлянт","Дуэлянт","Дуелянт","Duelist"
"Победи в ПвП-поединке","Победи в ПвП-поединке","Переможи в ПвП-поєдинку","Win a PvP duel"
"ГОТОВИТ УДАР!","ГОТОВИТ УДАР!","ГОТУЄ УДАР!","WINDING UP A STRIKE!"
"ГОТОВИТ РЫВОК!","ГОТОВИТ РЫВОК!","ГОТУЄ РИВОК!","PREPARING A CHARGE!"
"ПРИЗЫВАЕТ ПОДКРЕПЛЕНИЕ!","ПРИЗЫВАЕТ ПОДКРЕПЛЕНИЕ!","КЛИЧЕ ПІДКРІПЛЕННЯ!","SUMMONING REINFORCEMENTS!"
"Новый навык открыт!","Новый навык открыт!","Новий навик відкрито!","New skill unlocked!"
"ДОСТИЖЕНИЯ","ДОСТИЖЕНИЯ","ДОСЯГНЕННЯ","ACHIEVEMENTS"
"Открыто: %d из %d","Открыто: %d из %d","Відкрито: %d з %d","Unlocked: %d of %d"
"ДОСТИЖЕНИЕ: %s","ДОСТИЖЕНИЕ: %s","ДОСЯГНЕННЯ: %s","ACHIEVEMENT: %s"
"Войди в портал","Войди в портал","Увійди в портал","Step into the portal"
"Ирма выжала последний гриб в котёл и притворилась, что так и было.","Ирма выжала последний гриб в котёл и притворилась, что так и было.","Ірма вичавила останній гриб у казан і вдала, що так і було задумано.","Irma squeezed the last mushroom into the cauldron and pretended that was the plan all along."
"Портал загудел. Врач сказала: «Идите уже, а то отвар остынет».","Портал загудел. Врач сказала: «Идите уже, а то отвар остынет».","Портал загудів. Лікарка сказала: «Ідіть уже, бо відвар охолоне».","The portal began to hum. The healer said, ""Off you go, before the brew gets cold."""
"Молот вернулся к Борину. Гвозди в подошвах гномов — уже его проблема.","Молот вернулся к Борину. Гвозди в подошвах гномов — уже его проблема.","Молот повернувся до Боріна. Цвяхи в підошвах гномів — тепер його проблема.","The hammer is back with Borin. Nails in gnome boot-soles are his problem now."
"Кузница задышала огнём. Портал — единственный выход, не считая дымохода.","Кузница задышала огнём. Портал — единственный выход, не считая дымохода.","Кузня знову задихала вогнем. Портал — єдиний вихід, не рахуючи димаря.","The forge breathes fire again. The portal is the only way out, not counting the chimney."
"Ася потушила последний сигнальный костёр рукавом — как обычно, героически и не по инструкции.","Ася потушила последний сигнальный костёр рукавом — как обычно, героически и не по инструкции.","Ася загасила останнє сигнальне багаття рукавом — як завжди, героїчно і не за інструкцією.","Asya put out the last signal fire with her sleeve — heroic, as usual, and not remotely by the book."
"Лёд треснул ровно там, где нужно. Портал открылся раньше, чем она замёрзла окончательно.","Лёд треснул ровно там, где нужно. Портал открылся раньше, чем она замёрзла окончательно.","Лід тріснув саме там, де треба. Портал відкрився раніше, ніж вона замерзла остаточно.","The ice cracked exactly where it needed to. The portal opened before she froze solid."
"Дух короля Дунгрима вздохнул с облегчением — впервые за триста лет не в переносном смысле.","Дух короля Дунгрима вздохнул с облегчением — впервые за триста лет не в переносном смысле.","Дух короля Дунгріма зітхнув із полегшенням — вперше за триста років не в переносному сенсі.","The ghost of King Dungrim sighed with relief — for the first time in three hundred years, not just figuratively."
"«Ну наконец-то», — сказал призрак и первым нырнул в портал, забыв, что призракам это необязательно.","«Ну наконец-то», — сказал призрак и первым нырнул в портал, забыв, что призракам это необязательно.","«Ну нарешті», — сказав привид і перший пірнув у портал, забувши, що привидам це необов'язково.","""Finally,"" said the ghost, diving into the portal first — forgetting that ghosts don't actually need to."
"Поляна снова цела. Ирма уже готовит следующий отвар — на всякий случай.","Поляна снова цела. Ирма уже готовит следующий отвар — на всякий случай.","Галявина знову ціла. Ірма вже готує наступний відвар — про всяк випадок.","The meadow is whole again. Irma is already brewing the next potion — just in case."
